batch,index,type,mut,ene,acid,organ,temp,time,power,pred result,result
1,1,explore,DERA-T203A+24F,5.0,5.0,7.5,5,1.5,3,29.04±0.95,[exp_data]
1,2,explore,DERA-T203S+18T,2.5,5.0,5.0,5,4.0,3,11.38±1.05,[exp_data]
1,3,explore,DERA-T203A+24S,5.0,5.0,7.5,5,0.25,9,33.31±0.62,[exp_data]
1,4,explore,DERA-T203A+24D,5.0,5.0,7.5,25,5.5,3,12.68±1.16,[exp_data]
1,5,explore,DERA-T203S+18T,2.5,5.0,5.0,25,1.5,15,9.63±1.06,[exp_data]
